,Type,Name,Depth,Zn,Cd,Pb,Zn abs error,Cd abs error,Pb abs error
1,Floodplain Trench,E1,,30,5.3,8,30,5.3,8
1,Floodplain Trench,E2,,30,5.4,8,30,5.4,8
1,Floodplain Trench,F1,,40,4.7,7,40,4.7,7
1,Floodplain Trench,F2,,40,4.5,7,40,4.5,7
4,Floodplain Surface,Trench3A1,,6244,30,237.7,17,3.1,2.8
1,Floodplain Trench,Trench3A2,,6142,29.6,231.9,17,2.9,2.8
1,Floodplain Trench,Trench3B1,,0.5,3,0.7,24,3.4,4.1
1,Floodplain Trench,Trench3C1,,6062,54.8,305.5,16,3.4,3
1,Floodplain Trench,Trench3C2,,6097,62.1,303.8,16,3.6,3
2,Chat,C4 ADM 1,,6104.0868,28.8398,206.4511,0,3.5,2.6
2,Chat,C14 ADM3,,4701.7605,34.4866,204.834,110.73,0,28.77
2,Chat,C14 ADM1,,5143.5231,27.7536,203.431,195,0,35
4,Mobilized Chat,S101 >#5 (L1),,106.3,0,5.98,0.0005,-0.00032,0.00013
4,Mobilized Chat,S101-107 <#230,,1262,5.32,48.17,0.003,0.00033,0.00044
4,Mobilized Chat,S101-107 >#120,,1407,11.85,30.4,0.002,0.00034,0.00029
4,Mobilized Chat,S101-107 >#230,,1021,6.72,36.95,0.002,0.00034,0.00035
4,Mobilized Chat,S104 >#10 (L2),,250,0.69,19.07,0.0008,0.00015,0.00022
4,Mobilized Chat,S104 >#18 (L2),,768.9,3.87,17.86,0.0016,0.00022,0.00021
4,Mobilized Chat,S104 >#35,,2076,11.82,62.35,0.003,0.00031,0.00042
4,Mobilized Chat,S104 >#5,,747.4,3.99,4.47,0.0015,0.0002,0.00008
4,Mobilized Chat,S104 >#60,,2464,14.01,30.95,0.004,0.00035,0.00027
